,summary,cluster,new_cluster
0,"Неправильное обслуживание на кассе, отсутствие информации о сертификатах и скидках. Непрофессиональное поведение сотрудников. Неправильное использование браслетов, отсутствие объяснений. Неудобства из-за необходимости объясняться перед сотрудниками. Неправильное решение проблемы в конце дня.",0,0
1,Отель выглядит как 5-звёздочный отель 1990-х годов.,10,2
2,"Разочарование от отдыха, несоответствие 5 звездам. Уставшие номера, плохие матрасы, неподходящие халаты и тапочки. Шум от перфоратора ночью. Негативное впечатление от отеля.",2,6
3,"Отравление всей семьи, необходимость лечения. Отказ администрации в компенсации.",14,2
4,"Отравление всей семьи, отказ администрации в компенсации.",14,2
5,"Проблемы с бронированием столика в ресторане, долгий звонок и срыв связи.",5,0
6,"Номера не соответствуют ожиданиям, порванная простыня, пятно на ковре. Завтраки хорошие, территория ухоженная, рестораны вкусные, детям понравилось.",2,6
7,"Отель выглядит дорого, но внутренняя отделка устарела. Средний уровень обслуживания, шумные рестораны, интересные локации. Проблемы с электрокаром.",10,2
8,"Некомпетентные сотрудники, неправильная информация о возврате денег. Долгое ожидание возврата, игнорирование запросов. Красивая локация, но плохой сервис.",0,0
9,"Проблемы с кондиционером, плохое питание, неудобства в номере. Желание вернуть деньги.",2,6
10,"Плохое приветствие, долгая доставка вещей и кровати. Грязный номер, неработающие карусели и бассейн. Несоответствие цены и качества.",2,6
11,"Проблемы с бронированием, долгий заезд, неудобные спальные места. Негативное впечатление от обслуживания.",2,6
12,"Проблемы с зеркалами в номере, шумные рестораны, плохое обслуживание. Неудобства из-за толпы и некомпетентного персонала.",2,6
13,"Проблемы с питанием, уборкой, шумом, высокими ценами. Плохое обслуживание.",7,4
14,Неоправданно высокая цена.,4,1
15,"Проблемы с доступом в отель после 9 вечера, плохое обслуживание. Негативное впечатление от отеля.",2,6
16,"Грязные номера, устаревшие матрасы, маленький СПА и бассейн. Проблемы с питанием и арендой. Красивая территория, но плохой сервис.",2,6
17,"Проблемы с кондиционером, техникой, грубый персонал. Грязные номера, плохое обслуживание.",2,6
18,"Проблемы с телевизорами, плохое обслуживание, уборка только кроватей. Плохое обслуживание.",2,5
19,"Неработающие винный робот, пруд с карпами, купели. Проблемы с бронированием.",5,0
20,"Плохой кофе, высокая цена.",4,1
21,"Закрытый доступ в ресторан AZURR для посетителей ""дня мечты"". Проблемы с питанием.",17,2
22,"Плохое обслуживание, проблемы с машиной, отсутствие помощи. Негативное впечатление.",0,0
23,Негативное впечатление от отдыха.,8,2
24,"Проблемы с детским халатом, уборкой, зубной пастой. Неудобства при переезде, плохое обслуживание.",2,5
25,"Проблемы с поздравлениями, кроватями, детским халатом, уборкой. Негативное впечатление от обслуживания.",2,5
26,"Плохое обслуживание, грязные номера, плохой сервис.",2,5
27,"Проблемы с билетами для детей, неработающие аттракционы, плохое обслуживание.",13,2
28,"Грязный отель, несоответствие 5 звездам.",10,2
29,"Проблемы с возвратом предоплаты, отказ в помощи.",0,0
30,"Плохое обслуживание, проблемы с ресторанами, неудобства. Негативное впечатление.",7,4
31,Расчёт на доверчивых граждан.,18,2
32,"Проблемы с уборкой, плохое впечатление.",2,5
33,"Проблемы с заселением, прозрачные двери, плохое обслуживание.",2,5
34,Негативное впечатление от отдыха.,8,2
35,Плохое обслуживание с детьми.,0,0
36,"Скучный отдых, плохое обслуживание, грязные номера. Несоответствие цены и качества.",2,6
37,"Долгое ожидание еды, плохое обслуживание.",7,4
38,"Проблемы с оплатой, закрытым СПА, кальянной. Негативное впечатление.",7,4
39,"Проблемы с размещением, плохие номера, неудобства. Плохое обслуживание.",2,6
40,"Проблемы с грязью, плесенью, устаревшими помещениями. Плохое обслуживание, проблемы с номерами.",2,5
41,"Проблемы с обслуживанием, номерами, уборкой. Плохое обслуживание.",2,5
42,"Плохое обслуживание, грязные номера, проблемы с питанием. Негативное впечатление.",2,6
43,"Плохое питание: пресная, безвкусная еда, отсутствие детского меню, холодные напитки, разбавленные из порошков. Проблемы с обслуживанием: долгие очереди, пустые тарелки, соусники, отсутствие мест для сидения. Персонал не следит за состоянием столов.",7,4
44,"Плохая организация питания: отсутствие мест для сидения, маленькое помещение ресторана, неправильная логистика. Недостаток фруктов, толпы людей, хаос в ресторане. Проблемы с ""Днем мечты"" и ""Вечером мечты"": толпы людей, переполненные бассейны и сауны.",7,4
45,"Проблемы с ужином: долгие ожидания, неполный заказ, отсутствие напитков. Персонал не реагирует на жалобы, плохое обслуживание. Отсутствие обратной связи от отдела бронирования.",5,0
46,"Проблемы с заселением: не предоставлен этаж по договоренности, долгие ожидания румсервиса, неполные заказы. Номера изношенные, грязные, пятна на ковре и у туалета. Проблемы с такси при выезде.",15,0
47,"Высокие цены на питание и напитки, не подходит для среднего класса.",7,4
48,Проблемы с вызовом такси: предложение дорогого такси отеля или долгие ожидания при самостоятельном вызове. Равнодушие персонала.,15,0
49,"Красивая территория, но плохое отношение сотрудников ресепшн, равнодушие управляющей Екатерины.",11,0
50,"Проблемы с ""Днем мечты"": отравление, отсутствие помощи от персонала, плохое отношение к гостям, которые не проживают в отеле.",2,6
51,"Плохая организация винного фестиваля: перенос сцены, отсутствие еды, дегустация на ветру, плохой контингент гостей.",1,0
52,"Сбор денег за все услуги, даже за багги. Незаконная организация, не пускают гостей в рестораны и спа. Проблемы с ротавирусом в бассейне.",2,6
53,"Плохое качество номера: обшарпанная мебель, санузел в стеклянном кубе, плохо работающий кондиционер, запах от предыдущих гостей. Проблемы с питанием: маленький ресторан, нехватка столов, плохое качество еды. Проблемы с приоритетом для гостей отеля, толпы людей с разовым посещением.",15,0
54,"Плохое качество обслуживания в ""Академии гостеприимства"": много слов, мало дела, сервис на уровне кафе у дороги.",7,4
55,"Проблемы с заселением: отсутствие детской кровати, личного консьержа, чата с консьержем. Номер в плохом состоянии, грязная ванная, высокие цены. Персонал потерянный, некомпетентный.",15,0
56,"Проблемы с обслуживанием: стандартные ответы, неработающие заведения, грязь в номере и коридорах, ремонт без предупреждения. Плохое качество номера люкс.",2,6
57,"Проблемы с душем в номере, потеря колечка, отсутствие извинений и помощи от персонала.",11,0
58,"Проблемы с организацией спортивного мероприятия: перенос, отсутствие обратной связи от колл-центра.",5,0
59,"Проблемы с бассейном: закрытие на ремонт, отсутствие информации при бронировании. Плохое отношение персонала.",11,0
60,"Проблемы с аттракционами в Дримвуде, отсутствие возврата денег за испорченный отдых.",13,2
61,"Проблемы с обслуживанием: бездушное отношение, плата за все услуги, отсутствие улыбок до оплаты.",0,0
62,Проблемы с конфиденциальностью: раскрытие информации о гостях по телефону.,5,0
63,"Плохое обслуживание, отсутствие ответственности за проблемы.",0,0
64,"Проблемы с дозвоном, плохое обслуживание.",0,0
65,"Проблемы с бассейном и террасой в номере, отсутствие реакции на жалобы.",11,0
66,"Проблемы с номерами: отсутствие минибара, халатов, кофемашины. Проблемы с навигацией и выездом из отеля.",15,0
67,"Проблемы с туалетами: долгие очереди, отсутствие работы.",9,2
68,"Проблемы с посещением виноградников: высокая цена, возможность бесплатного посещения в других местах.",16,1
69,"Проблемы с номерами: старые, облезлые, высокие цены, плохое обслуживание.",2,5
70,"Проблемы с ценами: высокие, несоответствие качеству. Плохое обслуживание, ремонт без предупреждения.",12,1
71,"Проблемы с ""Академией гостеприимства"": плохое отношение сотрудников, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
72,"Проблемы с ценами: высокие, несоответствие качеству. Плохое обслуживание, ремонт без предупреждения.",12,1
73,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие извинений и помощи.",0,0
74,"Проблемы с фестивалем сакуры: отсутствие информации, плохое отношение к участникам, грязные санузлы, отсутствие еды.",7,3
75,"Проблемы с японским садом: высокая цена, отсутствие разницы между бронированием и покупкой билета на месте.",3,1
76,"Проблемы с обслуживанием: хамство охранника, плохое отношение персонала, отсутствие реакции на жалобы.",0,0
77,"Проблемы с фестивалем: отсутствие информации, плохое отношение к участникам, грязные санузлы, отсутствие еды.",1,0
78,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
79,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
80,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
81,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
82,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
83,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
84,"Проблемы с обслуживанием: плохое отношение персонала, отсутствие информации, плохое питание, некомпетентные спикеры.",1,0
85,"Не соблюдается ""тихий час"", ремонтные работы мешают отдыху, отсутствие мест в тихом корпусе, нерешенные жалобы, плохое обслуживание.",2,5
86,"Задержка заселения, отсутствие информации о готовности номера, плохое впечатление от первого дня.",2,6
87,"Плохая организация питания, долгие очереди, плохой сервис, но есть плюсы.",7,4
88,"Дополнительные платы за услуги, долгие очереди, плохое обслуживание.",0,0
89,"Плохая организация парка, отсутствие информации, неудобства в японском саду, плохое обслуживание в ресторане.",7,3
90,"Плохой сервис, завышенные цены.",6,1
91,"Недостаток информации при бронировании, отсутствие столиков в ресторане на Новый год, плохое обслуживание.",5,0
92,"Недружелюбный персонал, закрытые кафе, отсутствие мест для отдыха.",7,4
93,Завышенные цены за виллу.,4,1
94,"Долгие очереди, плохая вытяжка, шум, отсутствие ощущения отдыха.",9,2
95,Обслуживание не соответствует ценнику.,6,1
96,"Проблемы с курильщиками, отсутствие решений.",9,2
97,Некультурные сотрудники.,0,0
98,"Долгое ожидание заселения, некомпетентный персонал, отсутствие позднего выезда, плохое обслуживание, неудобства в номере, плохая анимация, недостаток алкоголя, неудобства на пляже, плохое питание, отравление.",2,6
99,"Плохое отношение к клиентам, отсутствие документов для отчетности, плохое обслуживание.",0,0
100,"Плохой отель, неработающий кондиционер, плохой персонал, мало ресторанов, грязные номера, отсутствие обозначений на дороге, долгие ожидания заселения, отсутствие поздравлений, плохое обслуживание.",2,6
101,"Плохое обслуживание, долгие ожидания, отсутствие вещей после стирки, плохое отношение к клиентам.",0,0
102,"Завышенные цены, плохое соотношение цена-качество.",6,1
103,"Плохое отношение к инвалидам, отсутствие информации, плохое обслуживание.",0,0
104,"Плохое обслуживание, отсутствие информации, плохое отношение к косплеерам.",0,0
105,"Некомпетентный персонал, завышенные цены, долгие ожидания, ремонтные работы, плохое обслуживание.",12,1
106,"Спам в личные сообщения, блокировка в социальных сетях, плохое обслуживание.",0,0
107,"Ремонтные работы, завышенные цены, плохое обслуживание, отсутствие уборки, плохие развлечения.",7,4
108,"Плохое отношение к клиентам, вандализм, плохое обслуживание.",0,0
109,"Плохое обслуживание, отсутствие кофемашины, отсутствие свежевыжатых соков, плохое отношение к клиентам, отсутствие уборки, отсутствие пополнения, отсутствие комплиментов, отсутствие справок.",0,0
110,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
111,"Завышенные цены, плохое соотношение цена-качество.",6,1
112,"Плохое поведение водителя, плохое обслуживание.",0,0
113,"Плохое состояние номеров, плохая вентиляция, плохое обслуживание.",2,5
114,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
115,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
116,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
117,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
118,"Плохое обслуживание, отсутствие уборки, плохое питание, плохие санузлы.",2,5
119,"Плохое обслуживание, отсутствие аттракционов, плохое качество воды, завышенные цены.",7,3
120,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
121,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
122,"Плохое состояние номеров, ремонтные работы, плохое обслуживание.",2,5
123,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
124,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
125,"Плохое состояние номеров, плохое обслуживание.",2,5
126,"Завышенные цены, плохое соотношение цена-качество.",6,1
127,"Завышенные цены, плохое обслуживание.",6,1
128,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
129,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
130,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
131,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
132,"Завышенные цены, плохое соотношение цена-качество.",6,1
133,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
134,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
135,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
136,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
137,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
138,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
139,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
140,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
141,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
142,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
143,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
144,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
145,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
146,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
147,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
148,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
149,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
150,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
151,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
152,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
153,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
154,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
155,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
156,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
157,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
158,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
159,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
160,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
161,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
162,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
163,"Плохое обслуживание, отсутствие информации, плохое отношение к клиентам.",0,0
